Model,Order,Trend,AIC,BIC,Log Likelihood,Rank
"ARIMA(3, 1, 1) (trend='n')","(3, 1, 1)",n,526.6856973363784,538.0690279314587,-258.3428486681892,1
"ARIMA(3, 1, 0) (trend='n')","(3, 1, 0)",n,527.881970588739,536.9886350648032,-259.9409852943695,2
"ARIMA(4, 1, 0) (trend='n')","(4, 1, 0)",n,528.3653320220144,539.7486626170946,-259.1826660110072,3
"ARIMA(4, 1, 1) (trend='n')","(4, 1, 1)",n,528.6448736757458,542.3048703898421,-258.3224368378729,4
"ARIMA(5, 1, 0) (trend='n')","(5, 1, 0)",n,529.9651187928905,543.6251155069868,-258.98255939644525,5
"ARIMA(5, 1, 1) (trend='n')","(5, 1, 1)",n,530.6246949831745,546.5613578162869,-258.3123474915873,6
